t,x,y,z,n_markers
5.8953,-0.011052500284616008,1.032721247185316,0.3950698514013969,1
5.9654,-0.013090043644359005,1.031699138905589,0.3952622065687304,1
6.0257,-0.012587161537703923,1.029478860326996,0.39527109716206404,1
6.1013,-0.009842441704945911,1.0325370590108394,0.394695649931275,1
6.1665,-0.012099853715140958,1.0322505403734445,0.39407498441502087,1
6.2322,-0.010398995253763381,1.0310478241440577,0.3942074328111055,1
6.3045,-0.012161947568421287,1.0329067207954348,0.39360678200287186,1
6.3647,-0.008646818303859348,1.0344126577289974,0.3936689636620115,1
6.4339,-0.011968268251378105,1.0336198435921817,0.39350486067136153,1
6.5005,-0.009885910192831793,1.0326973614369652,0.3930677001577717,1
6.5658,-0.01179790050522813,1.0337004367872908,0.3921794322827331,1
6.6328,-0.010706026344602514,1.0342916130901072,0.3919381148745408,1
6.6975,-0.0102653426505445,1.0350415208919372,0.3911670305443407,1
6.7671,-0.00915742418782666,1.037770132340931,0.38999422910396814,1
8.3632,-0.011176603379043418,1.0357360065874937,0.38583280772091344,1
8.4334,-0.013122697854673897,1.0345942843136193,0.3868306735868242,1
8.5,-0.014716795913987644,1.0365401134546794,0.3864629503848315,1
8.5663,-0.019355076738534375,1.0357513399660956,0.3862863275535583,1
8.6323,-0.01745040534141712,1.0363700186674931,0.3857096658308045,1
8.6972,-0.015060379609882275,1.034916848815681,0.38545058739849186,1
8.7664,-0.019607236860245743,1.035715284712738,0.38550916790907563,1
8.8298,-0.019199885577183613,1.036615302384487,0.3861431710048737,1
8.8989,-0.019213895669174745,1.0358424699445385,0.3860888136555589,1
8.9651,-0.02116543636816237,1.035461431313558,0.38541334995424936,1
9.0319,-0.020396163941754912,1.0354834771122607,0.3865579686362956,1
9.097,-0.017218517638224462,1.0342375339329724,0.3873861908579472,1
9.165,-0.019900804013865955,1.036349657661704,0.3867499214469563,1
9.2327,-0.019220459177949026,1.0355900339612425,0.3862557071363059,1
9.3035,-0.018854782198203475,1.0353200046791915,0.3863071994907913,1
9.3648,-0.01881992988071422,1.0354206497949214,0.38673360856812217,1
9.4298,-0.019335823625238318,1.0360975100391119,0.38804833019986446,1
9.4983,-0.014614083598258776,1.0365773146443997,0.39006646414863316,1
9.5632,-0.014793375436238626,1.0376885645905662,0.39126514173338095,1
9.6314,-0.015555385837697243,1.0368442445986512,0.3919088938194074,1
9.6977,-0.013463848838385774,1.037908801727787,0.3926457343308601,1
9.7638,-0.012389496202545773,1.0379395198568389,0.39393397463854957,1
9.8298,-0.012270943265435312,1.039851442861355,0.3948626398461351,1
9.8983,-0.01127132439804673,1.037238197509279,0.39648474164668257,1
9.9669,-0.012994102751027083,1.039479227924788,0.3960933007197637,1
